OrderID,Date,Region,Product,Category,SalesAmount,Quantity,Profit
1000,2023-01-01,Middle East & Africa,Workflow Automator,Software,578.41,1,392.49
1001,2023-01-02,North America,IoT Platform,Cloud Services,10049.6,16,6752.1
1002,2023-01-03,Latin America,Workflow Automator,Software,3599.89,7,2442.79
1003,2023-01-04,Europe,DataSync Basic,Cloud Services,2058.9,10,1478.2
1004,2023-01-05,Europe,Enterprise Suite,Software,30124.64,28,18074.79
1005,2023-01-06,Latin America,Cloud Storage Pro,Cloud Services,4187.43,9,2791.63
1006,2023-01-07,North America,DataSync Basic,Cloud Services,670.11,3,481.1
1007,2023-01-08,Asia Pacific,DataSync Basic,Cloud Services,531.42,3,381.53
1008,2023-01-09,North America,Enterprise Suite,Software,19030.35,15,11418.23
1009,2023-01-10,Asia Pacific,AI Insights,Analytics,10970.9,10,6981.47
1010,2023-01-11,North America,Analytics Plus,Analytics,29998.98,33,19212.78
1011,2023-01-12,Latin America,IoT Platform,Cloud Services,6398.64,9,4299.09
1012,2023-01-13,Asia Pacific,AI Insights,Analytics,26279.61,21,16723.42
1013,2023-01-14,North America,Workflow Automator,Software,1952.92,4,1325.19
1014,2023-01-15,Europe,Cloud Storage Pro,Cloud Services,1599.75,3,1066.5
1015,2023-01-16,North America,AI Insights,Analytics,31022.73,27,19741.71
1016,2023-01-17,Europe,Analytics Plus,Analytics,13905.76,16,8905.93
1017,2023-01-18,Middle East & Africa,AI Insights,Analytics,10079.28,8,6414.08
1018,2023-01-19,Asia Pacific,API Gateway,Integration,554.86,2,398.81
1019,2023-01-20,Latin America,Enterprise Suite,Software,3514.68,3,2108.8
1020,2023-01-21,Latin America,Mobile Connect,Integration,757.6,4,541.15
1021,2023-01-22,Europe,Analytics Plus,Analytics,3611.0,4,2312.67
1022,2023-01-23,Latin America,Workflow Automator,Software,8534.56,16,5791.29
1023,2023-01-24,Asia Pacific,Mobile Connect,Integration,1676.7,9,1197.66
1024,2023-01-25,Latin America,Analytics Plus,Analytics,5037.0,5,3225.94
1025,2023-01-26,Latin America,Mobile Connect,Integration,1592.08,8,1137.21
1026,2023-01-27,Middle East & Africa,DataSync Basic,Cloud Services,199.25,1,143.05
1027,2023-01-28,North America,IoT Platform,Cloud Services,3620.1,6,2432.25
1028,2023-01-29,Europe,AI Insights,Analytics,3599.94,3,2290.87
1029,2023-01-30,Europe,Analytics Plus,Analytics,21000.24,24,13449.63
1030,2023-01-31,North America,Enterprise Suite,Software,24872.33,19,14923.39
1031,2023-02-01,Latin America,Mobile Connect,Integration,1702.44,9,1216.02
1032,2023-02-02,North America,Analytics Plus,Analytics,4419.9,5,2830.72
1033,2023-02-03,Asia Pacific,API Gateway,Integration,3422.64,12,2460.01
1034,2023-02-04,Latin America,IoT Platform,Cloud Services,724.46,1,486.75
1035,2023-02-05,Europe,DataSync Basic,Cloud Services,1556.4,8,1117.42
1036,2023-02-06,Latin America,AI Insights,Analytics,5688.75,5,3620.11
1037,2023-02-07,Middle East & Africa,IoT Platform,Cloud Services,673.57,1,452.55
1038,2023-02-08,Asia Pacific,Cloud Storage Pro,Cloud Services,1075.7,2,717.14
1039,2023-02-09,North America,Mobile Connect,Integration,4823.01,27,3445.04
1040,2023-02-10,Middle East & Africa,Cloud Storage Pro,Cloud Services,2582.76,6,1721.84
1041,2023-02-11,Asia Pacific,AI Insights,Analytics,3164.34,3,2013.67
1042,2023-02-12,Middle East & Africa,Security Shield,Security,673.55,1,440.05
1043,2023-02-13,Latin America,DataSync Basic,Cloud Services,950.3,5,682.26
1044,2023-02-14,Middle East & Africa,API Gateway,Integration,2485.04,8,1786.12
1045,2023-02-15,Latin America,Workflow Automator,Software,558.02,1,378.66
1046,2023-02-16,Asia Pacific,AI Insights,Analytics,3226.47,3,2053.2
1047,2023-02-17,Latin America,API Gateway,Integration,1017.12,3,731.06
1048,2023-02-18,Europe,DataSync Basic,Cloud Services,852.0,5,611.69
1049,2023-02-19,Latin America,Security Shield,Security,2351.25,3,1536.15
1050,2023-02-20,Middle East & Africa,Mobile Connect,Integration,2743.92,12,1959.94
1051,2023-02-21,Middle East & Africa,Cloud Storage Pro,Cloud Services,4044.24,8,2696.15
1052,2023-02-22,Middle East & Africa,Analytics Plus,Analytics,6568.24,7,4206.62
1053,2023-02-23,Europe,Analytics Plus,Analytics,11682.15,15,7481.82
1054,2023-02-24,Latin America,Analytics Plus,Analytics,2670.93,3,1710.6
1055,2023-02-25,Europe,Cloud Storage Pro,Cloud Services,1688.68,4,1125.78
1056,2023-02-26,Asia Pacific,Enterprise Suite,Software,8067.9,6,4840.73
1057,2023-02-27,Europe,Security Shield,Security,4038.84,6,2638.7
1058,2023-02-28,North America,Enterprise Suite,Software,17593.12,16,10555.88
1059,2023-03-01,Middle East & Africa,Cloud Storage Pro,Cloud Services,2182.75,5,1455.17
1060,2023-03-02,Latin America,Analytics Plus,Analytics,3612.92,4,2313.9
1061,2023-03-03,Asia Pacific,Analytics Plus,Analytics,4753.15,5,3044.16
1062,2023-03-04,Middle East & Africa,Security Shield,Security,3154.68,4,2061.05
1063,2023-03-05,Europe,IoT Platform,Cloud Services,587.33,1,394.61
1064,2023-03-06,Middle East & Africa,Security Shield,Security,3999.36,6,2612.92
1065,2023-03-07,Asia Pacific,Workflow Automator,Software,5006.3,10,3397.13
